实例ID,最优目标值,任务开始时间
j3020_1,57,"[0,0,0,0,8,8,15,7,15,8,15,8,20,20,8,18,23,32,39,23,37,46,45,14,22,29,38,43,51,48,51,57]"
j3020_2,70,"[0,0,0,0,6,13,6,9,9,9,19,13,27,35,27,27,53,37,43,40,6,55,43,49,37,52,57,56,63,62,69,70]"
j3020_3,49,"[0,0,0,0,8,3,7,8,10,7,3,13,19,10,19,19,31,24,28,20,27,32,29,40,36,27,10,38,45,12,42,49]"
j3020_4,43,"[0,0,0,0,3,9,3,13,9,16,9,9,13,14,15,16,10,6,12,25,26,23,27,25,21,30,27,35,36,34,39,43]"
j3020_5,61,"[0,0,0,0,4,11,4,11,2,11,2,13,13,13,17,13,19,46,19,19,54,27,19,27,5,37,45,47,58,57,57,61]"
j3020_6,51,"[0,0,0,0,5,8,14,15,5,8,8,18,20,22,15,30,31,23,30,40,15,14,31,41,20,31,5,41,23,40,43,51]"
j3020_7,42,"[0,0,0,0,6,11,11,3,9,19,12,21,6,14,14,15,21,33,37,14,22,30,11,24,21,29,31,36,41,41,33,42]"
j3020_8,51,"[0,0,0,0,6,2,9,2,9,16,11,14,24,13,17,24,15,2,8,20,14,23,23,26,39,25,35,44,48,50,49,51]"
j3020_9,41,"[0,0,0,0,4,1,8,4,10,4,4,4,8,11,12,10,13,12,22,31,22,13,31,11,36,25,37,36,40,40,39,41]"
j3020_10,37,"[0,0,0,0,9,3,9,9,10,14,16,10,14,8,14,20,14,24,24,32,24,12,24,32,25,34,13,31,35,36,35,37]"
j3021_1,84,"[0,0,12,0,5,15,25,12,43,5,26,33,31,2,25,26,46,54,35,60,33,52,46,57,57,64,51,72,71,66,74,84]"
j3021_2,59,"[0,0,0,2,11,16,12,12,24,8,14,18,11,14,24,33,16,25,38,32,23,36,42,42,46,44,50,54,56,43,54,59]"
j3021_3,76,"[0,0,0,0,9,4,12,12,22,32,2,22,44,45,22,59,32,45,8,9,51,64,38,12,38,49,54,59,66,54,66,76]"
j3021_4,70,"[0,9,0,0,10,2,17,19,26,15,9,25,32,19,18,27,25,40,35,41,51,52,60,40,44,59,49,59,66,66,66,70]"
j3021_5,55,"[0,0,0,0,3,3,11,12,21,8,26,25,33,11,28,27,33,14,41,16,21,41,37,47,25,38,48,43,49,49,49,55]"
j3021_6,76,"[0,0,0,48,9,15,19,19,15,5,33,25,29,28,9,29,19,16,57,29,30,44,47,39,58,44,53,53,60,67,70,76]"
j3021_7,65,"[0,0,0,17,9,25,9,12,5,16,41,15,23,18,46,35,48,25,47,47,39,34,33,49,25,48,34,43,59,50,55,65]"
j3021_8,62,"[0,0,0,0,1,14,10,7,20,13,17,10,12,26,20,32,37,27,37,31,32,33,42,41,41,54,50,46,56,57,57,62]"
j3021_9,69,"[0,0,0,43,10,16,10,8,10,16,35,19,24,21,14,43,56,18,18,25,34,37,50,60,24,40,52,49,50,59,65,69]"
j3021_10,69,"[0,0,0,0,7,29,22,7,17,28,38,9,43,14,38,29,48,6,37,43,52,52,12,48,55,61,19,58,63,61,63,69]"
j3022_1,42,"[0,0,2,0,10,16,4,10,4,9,13,12,12,15,18,20,13,17,14,19,24,19,25,24,27,27,6,31,32,32,39,42]"
j3022_2,45,"[0,0,0,0,5,7,5,7,7,8,12,10,19,15,5,17,17,25,17,24,33,33,32,12,25,37,38,36,42,42,41,45]"
j3022_3,63,"[0,0,0,0,10,10,16,16,23,26,47,23,16,16,26,10,6,31,31,47,10,39,35,20,26,42,48,44,54,53,55,63]"
j3022_4,42,"[0,0,0,0,4,3,4,4,12,4,26,13,7,14,22,14,14,17,15,23,10,31,23,30,10,29,32,21,38,32,33,42]"
j3022_5,52,"[0,0,5,0,10,5,18,16,20,10,32,20,41,26,12,27,21,13,30,38,33,32,21,43,41,27,38,45,48,47,46,52]"
j3022_6,52,"[0,0,0,0,10,20,7,7,11,3,17,11,6,17,30,27,32,23,17,21,23,32,22,14,40,36,36,40,42,43,43,52]"
j3022_7,60,"[0,8,0,4,1,1,6,3,8,8,1,38,14,21,15,15,23,21,36,29,37,23,32,38,30,40,45,47,54,36,51,60]"
j3022_8,55,"[0,0,0,8,6,10,13,11,10,13,20,18,19,35,20,25,26,22,28,11,6,36,34,26,42,39,42,26,52,49,44,55]"
j3022_9,76,"[0,0,0,0,10,6,18,10,11,28,17,6,28,18,37,21,61,68,65,43,51,24,65,33,21,60,59,65,75,71,70,76]"
j3022_10,55,"[0,0,0,0,6,2,15,6,2,25,10,25,30,20,32,18,1,29,30,18,15,29,20,28,33,29,41,39,46,47,37,55]"
j3023_1,63,"[0,0,0,0,4,10,5,15,5,15,22,18,4,10,31,19,15,31,18,30,40,19,26,40,50,46,47,50,58,53,54,63]"
j3023_2,53,"[0,0,0,0,3,3,3,9,9,5,13,9,1,32,3,18,8,4,11,22,29,36,32,25,27,37,35,38,49,45,48,53]"
j3023_3,46,"[0,0,0,0,4,4,4,12,15,11,7,16,31,22,10,22,38,13,26,20,32,31,23,32,29,20,37,40,45,41,41,46]"
j3023_4,65,"[0,6,0,0,10,11,18,18,23,11,31,23,15,48,29,53,25,32,32,36,31,36,52,53,39,53,36,48,55,58,56,65]"
j3023_5,52,"[0,0,0,0,4,7,14,4,25,7,4,14,4,5,22,13,33,26,26,15,38,22,23,31,22,32,38,41,42,48,41,52]"
j3023_6,48,"[0,0,0,6,13,10,15,13,2,17,4,4,17,4,10,33,24,24,38,33,6,23,17,23,31,37,36,39,38,44,45,48]"
j3023_7,60,"[0,11,0,0,21,10,11,23,11,15,21,25,15,29,27,33,50,32,31,35,23,45,10,32,44,45,41,50,50,57,42,60]"
j3023_8,48,"[0,0,0,0,3,9,8,8,9,12,13,21,23,9,23,21,23,30,31,9,36,10,26,35,40,21,24,35,39,43,45,48]"
j3023_9,63,"[0,0,0,0,4,5,6,20,15,2,2,25,12,15,35,16,20,23,25,27,25,24,10,30,40,39,40,48,54,54,53,63]"
j3023_10,61,"[0,0,0,0,10,13,6,13,8,8,10,23,35,23,33,23,39,38,44,14,48,40,33,35,49,46,42,47,55,52,57,61]"
j3024_1,53,"[0,0,0,0,7,7,7,15,15,22,17,18,29,18,32,41,18,39,1,27,30,20,30,24,28,27,30,40,48,45,43,53]"
j3024_2,58,"[0,0,0,0,10,10,3,14,31,14,3,14,3,22,29,22,12,23,30,36,19,27,20,37,31,40,35,43,52,48,57,58]"
j3024_3,69,"[0,0,0,0,10,20,29,8,20,9,25,5,13,13,20,28,36,36,45,28,35,55,40,36,46,10,45,47,61,67,36,69]"
j3024_4,53,"[0,0,0,0,5,1,1,1,5,16,15,5,15,2,21,24,34,5,21,22,8,30,5,32,28,32,37,36,45,30,37,53]"
j3024_5,51,"[0,0,0,0,8,11,17,9,25,5,6,9,6,17,35,11,17,17,24,17,28,24,35,35,35,35,45,43,48,49,43,51]"
j3024_6,56,"[0,0,0,0,10,1,5,15,8,42,24,1,24,16,4,17,14,32,14,11,46,10,15,32,24,33,42,36,46,24,48,56]"
j3024_7,44,"[0,0,0,0,1,1,7,6,1,6,21,11,21,11,3,16,19,14,22,34,21,34,14,31,31,7,34,38,40,42,42,44]"
j3024_8,38,"[0,0,0,0,3,8,9,3,9,10,11,3,17,26,9,10,8,15,15,12,27,20,27,34,20,14,26,29,37,31,29,38]"
j3024_9,43,"[0,0,0,0,3,8,8,8,16,13,21,18,21,23,16,23,4,33,31,29,10,11,20,26,24,32,28,36,35,36,41,43]"
j3024_10,53,"[0,0,0,0,8,8,5,7,5,11,11,19,19,40,11,18,13,47,20,15,11,28,19,35,35,39,29,39,49,48,45,53]"
j3025_1,93,"[0,0,9,20,19,16,44,9,29,32,22,30,28,22,67,57,38,53,16,60,36,47,74,67,44,78,47,88,91,87,51,93]"
j3025_2,75,"[0,4,0,4,8,25,15,18,16,31,8,20,31,12,34,25,10,45,31,45,34,44,38,54,55,51,52,60,66,49,55,75]"
j3025_3,76,"[0,0,0,16,7,7,30,10,30,25,26,9,30,39,47,57,44,64,9,16,47,36,58,29,48,64,68,71,73,75,67,76]"
j3025_4,81,"[0,19,8,0,30,8,12,22,31,12,38,31,44,14,54,42,47,24,34,66,58,58,37,63,33,76,70,42,76,60,80,81]"
j3025_5,72,"[0,0,0,0,31,8,11,7,16,23,7,47,41,39,44,31,16,45,60,52,51,59,59,51,61,19,65,63,71,69,69,72]"
j3025_6,58,"[0,0,7,0,16,33,22,12,10,7,22,32,14,16,43,37,12,28,32,21,22,46,28,22,47,36,37,50,53,57,55,58]"
j3025_7,95,"[0,20,0,20,30,4,4,13,20,28,35,43,53,27,30,37,57,43,47,53,67,58,68,64,80,34,73,69,76,87,86,95]"
j3025_8,69,"[0,0,8,0,5,1,5,14,27,17,35,11,20,30,45,35,52,45,20,41,60,51,52,33,60,50,59,59,67,68,63,69]"
j3025_9,84,"[0,0,7,1,7,14,20,18,1,14,22,37,23,48,24,28,35,56,33,23,37,31,46,50,46,46,66,56,76,64,72,84]"
j3025_10,58,"[0,0,6,0,17,15,44,25,2,6,8,10,12,19,11,24,29,38,28,19,30,27,39,31,43,31,48,50,51,51,57,58]"
j3026_1,59,"[0,0,9,0,9,15,11,23,12,15,15,23,29,15,34,23,32,45,32,46,48,40,38,45,25,29,52,42,56,46,54,59]"
j3026_2,40,"[0,0,0,0,4,3,24,3,4,6,9,3,12,10,28,7,5,24,17,4,10,14,24,29,29,31,36,26,33,37,36,40]"
j3026_3,58,"[0,0,3,0,2,3,8,10,15,15,24,25,15,20,21,32,32,41,44,51,22,51,32,42,41,45,8,52,55,56,52,58]"
j3026_4,62,"[0,0,0,0,1,7,10,3,10,13,20,20,28,26,36,3,20,20,31,30,38,28,42,37,13,44,40,45,55,52,55,62]"
j3026_5,74,"[0,0,0,0,3,10,19,10,18,3,6,18,21,31,24,28,24,36,29,38,37,33,48,38,43,46,49,56,56,48,65,74]"
j3026_6,53,"[0,0,0,0,4,7,14,20,32,7,7,16,16,16,27,40,22,32,33,33,39,40,18,43,37,42,44,45,46,47,45,53]"
j3026_7,56,"[0,0,0,0,8,14,14,17,9,26,39,32,30,16,30,24,45,18,21,37,22,39,33,40,39,40,49,46,49,51,49,56]"
j3026_8,66,"[0,0,0,0,2,22,2,10,13,1,13,11,19,13,23,21,22,34,40,11,26,31,27,45,36,41,47,51,56,38,58,66]"
j3026_9,43,"[0,0,14,0,22,7,10,14,20,10,20,18,25,24,19,34,29,28,23,31,24,34,34,31,35,35,35,36,42,40,36,43]"
j3026_10,49,"[0,0,0,0,11,3,9,7,14,9,39,23,23,19,18,3,27,6,17,30,6,27,25,42,33,41,33,37,43,47,43,49]"
j3027_1,43,"[0,4,0,0,10,6,4,7,7,7,16,26,20,16,24,16,26,28,24,16,16,31,18,38,33,38,35,28,39,42,32,43]"
j3027_2,58,"[0,0,0,0,2,9,9,3,16,22,2,19,16,30,32,19,13,19,3,42,26,28,10,30,42,42,46,20,50,49,48,58]"
j3027_3,60,"[0,0,0,0,1,13,7,22,23,13,5,38,17,13,27,20,44,8,24,20,20,22,27,43,36,41,32,42,53,52,52,60]"
j3027_4,64,"[0,5,0,0,5,13,10,15,13,16,26,15,22,22,16,39,34,43,30,55,30,38,38,43,52,57,5,39,59,54,63,64]"
j3027_5,49,"[0,28,0,0,9,9,9,19,19,6,19,24,6,14,20,25,20,10,28,29,30,34,37,33,30,38,39,41,47,39,40,49]"
j3027_6,59,"[0,16,0,0,3,3,5,9,15,18,25,10,29,17,26,28,15,25,50,22,29,29,32,34,30,34,44,44,54,56,49,59]"
j3027_7,49,"[0,0,0,0,9,7,7,10,14,7,20,20,17,22,14,8,29,17,32,21,26,24,33,29,33,36,42,20,38,44,48,49]"
j3027_8,66,"[0,0,13,0,4,20,12,6,20,4,12,6,12,25,18,12,32,28,20,31,25,32,40,39,58,50,21,55,58,57,63,66]"
j3027_9,55,"[0,0,0,0,6,20,10,16,13,8,25,16,26,13,28,20,33,6,44,22,33,26,13,33,23,28,46,37,47,46,54,55]"
j3027_10,62,"[0,0,0,0,7,11,10,10,7,39,3,17,17,16,6,44,25,35,51,7,42,45,39,53,40,47,44,56,52,58,61,62]"
j3028_1,69,"[0,0,0,0,9,9,17,17,21,1,20,13,22,30,24,4,30,35,17,30,55,40,59,42,41,55,50,21,59,66,64,69]"
j3028_2,57,"[0,0,0,0,3,1,5,7,3,17,10,1,7,21,36,47,30,32,37,17,43,26,37,7,47,37,38,47,48,55,50,57]"
j3028_3,40,"[0,0,0,0,8,9,2,12,18,8,2,2,11,17,19,11,18,19,17,12,32,28,32,27,24,31,31,35,37,36,34,40]"
j3028_4,49,"[0,0,0,0,8,6,14,9,8,20,22,8,14,22,14,6,35,29,22,15,18,20,36,42,34,41,32,40,45,44,45,49]"
j3028_5,73,"[0,0,0,0,9,9,16,10,10,18,16,26,29,27,14,14,37,57,27,55,26,43,61,31,52,56,66,68,65,70,70,73]"
j3028_6,55,"[0,0,0,0,5,12,17,5,12,17,25,25,29,15,29,8,38,26,12,45,25,37,38,47,47,32,45,52,51,53,17,55]"
j3028_7,48,"[0,0,0,0,8,9,9,11,13,13,13,7,13,22,21,21,9,26,24,32,14,32,35,37,23,33,37,33,45,42,44,48]"
j3028_8,53,"[0,0,0,0,12,2,12,2,11,21,31,2,11,18,37,8,2,31,12,38,23,38,42,12,33,31,45,40,52,46,47,53]"
j3028_9,62,"[0,0,0,0,6,8,7,15,15,10,8,25,25,25,6,23,17,19,7,28,33,29,33,33,39,33,41,45,58,52,54,62]"
j3028_10,59,"[0,0,0,0,5,3,5,11,5,15,13,5,6,43,7,38,9,37,43,47,20,48,15,30,36,48,43,43,57,52,51,59]"
j3029_1,85,"[0,4,0,0,20,9,13,15,13,28,19,47,47,15,26,35,35,32,26,67,76,44,67,45,46,52,58,77,82,57,83,85]"
j3029_2,,
j3029_3,,
j3029_4,,
j3029_5,98,"[0,54,0,2,5,2,12,23,15,39,61,25,45,36,19,54,77,35,63,29,75,45,92,64,85,87,72,82,92,90,94,98]"
j3029_6,,
j3029_7,73,"[0,4,0,0,7,12,15,12,4,9,12,46,49,26,39,4,35,11,41,32,55,61,22,57,46,31,69,59,61,71,69,73]"
j3029_8,,
j3029_9,97,"[0,4,0,0,22,31,27,4,12,54,57,36,12,44,68,17,22,75,38,38,44,60,48,75,27,84,67,90,94,84,96,97]"
j3029_10,76,"[0,13,1,0,1,10,17,7,29,11,13,22,26,40,11,57,26,33,47,49,15,35,33,50,59,40,57,61,74,54,68,76]"
j3030_1,47,"[0,0,0,0,10,20,16,5,23,10,6,14,25,7,16,2,25,11,41,29,24,24,32,34,25,29,38,35,43,41,38,47]"
j3030_2,68,"[0,0,0,14,8,8,10,37,20,21,26,48,19,17,29,26,26,40,39,45,40,36,52,43,60,52,43,54,51,67,62,68]"
j3030_3,55,"[0,36,0,0,1,10,10,15,13,1,22,9,23,13,23,19,23,31,36,31,31,34,40,40,42,47,44,46,49,47,50,55]"
j3030_4,53,"[0,0,0,0,7,7,19,14,27,23,14,18,22,19,12,42,34,16,7,25,16,35,26,29,36,41,40,35,46,46,46,53]"
j3030_5,54,"[0,0,0,0,5,9,10,8,16,19,20,5,24,20,30,13,16,30,27,24,27,36,31,28,42,41,36,45,44,46,53,54]"
j3030_6,62,"[0,0,0,0,5,20,4,1,10,1,24,14,14,18,34,28,24,11,34,30,49,30,34,38,39,42,55,46,56,56,57,62]"
j3030_7,68,"[0,0,0,0,6,10,15,10,25,15,8,25,46,31,35,35,14,29,21,39,45,41,54,58,51,44,52,54,54,58,62,68]"
j3030_8,46,"[0,0,0,0,7,17,1,24,7,17,8,26,23,33,7,8,25,34,25,35,17,38,42,26,37,40,43,43,44,45,45,46]"
j3030_9,46,"[0,0,0,0,2,13,3,9,2,19,9,12,2,21,35,40,17,22,10,19,29,9,26,13,26,34,23,29,37,38,41,46]"
j3030_10,53,"[0,0,0,0,8,8,6,22,17,39,24,29,6,48,15,16,27,33,36,17,33,11,17,29,42,44,31,42,46,48,50,53]"
j3031_1,43,"[0,0,0,0,1,7,5,14,10,1,7,9,5,6,14,15,8,15,8,21,18,18,21,22,26,28,28,22,40,37,35,43]"
j3031_2,63,"[0,0,0,0,7,1,11,1,7,9,17,7,1,18,12,17,15,13,21,26,14,51,26,34,41,18,51,52,61,59,54,63]"
j3031_3,58,"[0,0,0,0,10,13,10,16,13,26,18,16,16,26,21,34,9,21,26,34,31,34,43,51,43,31,50,48,52,53,52,58]"
j3031_4,50,"[0,0,0,0,8,8,17,8,16,2,17,14,16,16,10,20,26,20,28,27,25,22,31,29,31,31,32,47,34,49,42,50]"
j3031_5,52,"[0,0,0,0,4,6,8,6,2,9,13,12,19,19,15,25,25,30,12,19,23,27,41,24,28,27,37,34,33,46,43,52]"
j3031_6,53,"[0,0,0,0,10,10,3,12,12,20,43,18,10,13,18,45,18,21,22,20,23,37,31,50,46,37,44,48,50,45,52,53]"
j3031_7,61,"[0,8,0,0,27,8,17,5,21,9,18,27,37,23,17,23,31,30,22,36,11,32,47,54,40,36,32,48,54,60,55,61]"
j3031_8,58,"[0,13,0,0,4,12,21,24,4,21,7,24,33,27,37,14,31,12,37,44,18,51,46,46,40,54,42,49,55,50,56,58]"
j3031_9,50,"[0,11,0,0,9,9,5,18,26,9,11,11,24,21,17,27,22,26,30,18,33,26,35,36,41,29,39,31,48,49,47,50]"
j3031_10,55,"[0,6,0,0,6,2,11,16,3,14,21,22,2,19,23,22,22,28,32,39,29,23,34,45,37,42,47,29,49,46,48,55]"
j3032_1,61,"[0,0,0,0,5,5,14,9,14,9,24,22,9,22,39,31,12,22,22,39,45,41,42,32,41,42,44,46,53,56,56,61]"
j3032_2,60,"[0,0,0,0,9,10,9,10,20,30,15,19,29,19,34,20,36,8,22,19,34,30,38,46,47,34,47,52,53,52,54,60]"
j3032_3,57,"[0,0,0,0,9,9,10,10,9,9,10,19,18,18,21,21,27,23,15,27,23,34,32,35,27,41,40,49,53,47,48,57]"
j3032_4,68,"[0,0,0,0,10,20,20,29,36,36,42,10,42,44,10,20,45,29,62,36,46,46,58,29,54,58,52,62,63,64,63,68]"
j3032_5,54,"[0,0,0,0,10,6,11,9,16,11,42,10,28,16,34,23,21,33,15,29,34,19,36,33,41,37,42,46,52,53,51,54]"
j3032_6,44,"[0,0,0,0,5,8,8,8,5,9,5,9,10,15,8,16,16,18,16,20,22,21,33,24,32,35,36,26,38,36,39,44]"
j3032_7,35,"[0,0,0,0,1,3,3,3,2,7,7,1,2,9,18,12,15,25,28,1,28,7,12,12,18,21,21,29,31,27,26,35]"
j3032_8,54,"[0,0,0,0,9,10,10,12,20,20,9,49,15,19,18,28,19,35,39,20,20,30,32,39,35,43,41,40,50,45,49,54]"
j3032_9,65,"[0,0,0,0,10,10,10,10,9,13,24,20,19,13,10,30,26,30,13,31,16,30,54,54,53,35,44,54,57,56,62,65]"
j3032_10,51,"[0,0,0,0,3,5,13,4,13,14,5,6,5,13,30,36,14,32,37,23,16,40,6,41,39,21,30,36,47,43,42,51]"
j3033_1,65,"[0,8,0,0,4,4,10,10,17,19,19,11,20,29,24,24,20,30,32,40,48,35,47,50,34,44,50,44,55,54,57,65]"
j3033_2,60,"[0,7,0,0,7,7,7,13,22,17,29,14,26,23,27,29,25,37,34,35,27,39,29,37,45,38,45,38,58,50,50,60]"
j3033_3,55,"[0,0,0,0,9,16,6,17,17,2,9,17,3,30,27,22,15,24,31,28,30,41,44,30,37,43,38,47,45,45,51,55]"
j3033_4,77,"[0,0,8,0,9,18,19,25,26,29,31,45,33,36,18,34,46,43,59,29,40,66,43,61,50,58,66,66,67,76,68,77]"
j3033_5,53,"[0,0,0,7,15,4,8,14,15,11,16,34,15,20,37,16,38,41,19,44,20,42,35,27,27,26,35,42,48,46,46,53]"
j3033_6,59,"[0,0,0,9,3,3,13,4,23,23,13,23,25,28,49,29,29,19,36,28,41,38,50,36,51,44,52,47,53,53,58,59]"
j3033_7,58,"[0,0,4,0,10,10,26,13,43,10,23,20,29,20,32,51,33,49,52,44,47,54,41,49,52,51,41,51,53,57,53,58]"
j3033_8,61,"[0,3,0,0,3,8,3,7,8,10,12,5,23,31,25,20,18,36,23,44,39,49,44,18,47,31,39,48,51,42,56,61]"
j3033_9,65,"[0,0,0,0,11,16,2,19,2,10,4,24,24,21,25,19,25,25,37,34,46,43,35,27,38,55,48,45,60,54,56,65]"
j3033_10,53,"[0,0,7,0,2,3,7,2,16,13,11,3,24,21,27,13,30,13,21,23,22,30,37,30,30,39,43,40,52,46,44,53]"
j3034_1,68,"[0,0,0,0,10,10,10,14,28,20,20,25,28,32,28,32,35,35,35,45,39,29,39,45,51,55,49,55,66,56,58,68]"
j3034_2,44,"[0,0,0,4,7,7,10,3,15,13,9,9,15,15,19,15,13,21,32,22,22,22,21,21,31,34,31,28,41,38,41,44]"
j3034_3,69,"[0,0,0,0,3,10,21,16,7,23,3,34,12,56,29,29,36,37,53,45,45,45,45,21,61,53,53,56,63,62,62,69]"
j3034_4,67,"[0,0,3,0,3,3,12,3,11,14,12,13,22,22,32,31,31,42,22,35,45,53,57,64,62,45,55,53,57,65,63,67]"
j3034_5,63,"[0,0,0,0,6,10,13,13,18,8,27,15,13,18,24,37,21,23,30,6,46,41,45,46,29,36,39,47,56,55,53,63]"
j3034_6,52,"[0,0,0,0,5,5,11,4,11,15,20,5,24,35,14,32,15,16,20,30,34,40,41,34,24,37,42,37,48,44,51,52]"
j3034_7,58,"[0,0,0,0,3,15,8,34,8,15,13,9,18,39,27,21,31,21,25,24,37,3,42,46,24,34,33,50,53,48,54,58]"
j3034_8,58,"[0,0,0,0,5,5,9,1,11,11,1,7,29,20,18,18,15,34,25,33,33,11,23,40,40,41,26,44,48,47,29,58]"
j3034_9,60,"[0,0,0,23,4,13,21,8,8,13,31,25,25,28,22,28,35,17,23,31,27,33,40,35,39,39,47,47,55,58,50,60]"
j3034_10,47,"[0,0,0,0,14,10,7,7,16,10,15,17,18,17,26,27,23,22,21,29,32,18,25,29,32,35,37,36,43,45,41,47]"
j3035_1,57,"[0,0,0,0,8,14,6,2,14,2,8,8,18,18,17,13,24,31,35,25,33,24,18,28,35,37,28,37,54,47,40,57]"
j3035_2,53,"[0,0,0,0,4,1,7,14,19,10,4,7,14,19,36,22,20,27,20,43,29,43,40,43,30,36,43,37,50,46,48,53]"
j3035_3,60,"[0,0,7,0,9,16,34,7,7,12,20,20,42,12,9,26,31,30,21,50,49,46,39,52,55,39,42,51,57,59,54,60]"
j3035_4,50,"[0,0,12,0,4,12,12,4,8,1,18,18,15,13,22,21,12,19,31,26,17,20,40,22,31,29,31,23,45,44,40,50]"
j3035_5,60,"[0,6,0,0,8,8,8,12,6,13,13,23,27,23,12,35,33,34,23,38,46,40,32,46,51,15,40,49,50,59,57,60]"
j3035_6,58,"[0,1,0,0,1,13,6,6,15,15,1,12,6,10,7,15,20,25,35,41,33,25,41,44,44,20,41,41,52,50,51,58]"
j3035_7,61,"[0,0,0,0,3,12,14,10,7,14,10,15,18,26,24,31,25,31,38,38,31,40,53,32,40,40,43,40,53,58,50,61]"
j3035_8,63,"[0,0,0,0,7,7,16,3,7,16,24,9,34,3,28,13,34,54,44,44,24,35,53,54,43,52,55,53,61,61,59,63]"
j3035_9,59,"[0,0,0,0,2,2,4,4,11,11,7,20,11,21,11,10,17,15,26,20,36,29,29,44,37,29,46,46,55,49,40,59]"
j3035_10,59,"[0,0,0,0,5,5,5,5,6,28,12,13,19,24,12,18,23,18,30,28,34,44,38,23,36,46,44,49,50,38,49,59]"
j3036_1,66,"[0,0,0,0,3,3,13,3,6,13,9,5,16,23,13,46,16,29,21,23,29,37,36,32,42,43,38,48,58,65,57,66]"
j3036_2,44,"[0,0,0,0,3,3,13,8,2,12,8,17,8,17,18,2,22,22,22,6,18,23,28,23,29,41,23,36,39,37,42,44]"
j3036_3,61,"[0,0,0,0,6,6,7,4,6,14,12,24,4,34,11,7,20,15,29,15,33,34,34,24,30,38,47,52,56,51,54,61]"
j3036_4,59,"[0,0,0,0,6,6,6,15,4,15,4,23,12,23,30,15,23,19,39,39,39,46,30,30,46,43,53,48,55,51,51,59]"
j3036_5,64,"[0,0,0,0,5,11,11,7,11,17,17,22,33,23,31,18,31,38,27,31,38,41,38,44,38,47,46,51,61,58,56,64]"
j3036_6,46,"[0,0,0,0,9,8,8,12,18,7,21,9,12,19,14,16,26,30,30,32,26,35,28,29,30,38,31,18,38,39,42,46]"
j3036_7,56,"[0,0,0,0,7,13,10,14,19,13,4,14,22,22,21,13,18,28,10,30,21,31,34,26,21,42,34,38,53,48,48,56]"
j3036_8,63,"[0,0,0,0,7,10,14,7,14,17,10,25,10,25,19,19,34,25,32,35,42,31,53,18,44,39,45,51,55,7,61,63]"
j3036_9,59,"[0,0,0,0,10,10,20,2,20,16,25,16,16,27,25,23,26,10,36,21,47,33,54,33,33,37,42,46,56,54,56,59]"
j3036_10,59,"[0,0,0,0,10,4,3,10,10,19,3,17,48,21,18,21,19,36,27,27,44,34,34,33,43,43,43,48,56,56,56,59]"
j3037_1,79,"[0,0,0,8,27,2,19,17,28,7,19,36,40,27,16,56,34,13,44,36,47,42,51,53,43,63,53,62,71,69,62,79]"
j3037_2,69,"[0,0,0,0,11,8,2,11,12,15,2,16,8,19,16,20,14,18,29,18,36,29,30,42,39,41,50,44,60,52,61,69]"
j3037_3,81,"[0,0,0,5,5,26,5,53,34,14,20,43,23,60,30,20,43,65,37,57,53,60,68,69,73,66,60,68,75,77,72,81]"
j3037_4,83,"[0,0,0,6,1,1,9,16,9,6,12,26,16,19,20,50,68,39,36,46,54,28,59,32,31,39,68,67,59,75,74,83]"
j3037_5,80,"[0,8,0,18,27,18,8,38,28,27,30,37,54,28,40,45,59,45,45,43,65,55,70,65,74,66,63,71,79,71,79,80]"
j3037_6,73,"[0,2,8,0,7,4,7,14,18,25,18,35,46,20,14,40,37,36,42,26,39,44,56,50,57,57,60,62,69,68,67,73]"
j3037_7,92,"[0,0,12,0,17,25,35,6,35,36,6,35,37,40,45,45,55,55,37,63,58,19,63,58,67,64,78,73,69,76,84,92]"
j3037_8,72,"[0,0,0,0,3,9,10,30,9,20,20,39,31,41,47,10,41,30,41,20,55,43,45,58,56,66,56,58,59,65,67,72]"
j3037_9,57,"[0,0,0,0,5,6,10,6,28,15,29,19,19,38,33,31,5,18,38,41,43,49,38,40,43,48,43,51,55,52,54,57]"
j3037_10,81,"[0,5,11,0,36,27,5,12,18,22,17,49,32,22,42,46,39,50,32,49,46,49,58,59,49,62,38,59,67,68,75,81]"
j3038_1,48,"[0,0,0,0,1,5,5,15,10,13,6,6,16,18,17,21,18,30,20,11,21,28,31,35,34,38,36,31,39,43,40,48]"
j3038_2,54,"[0,0,0,0,4,3,4,3,6,4,6,14,19,7,25,35,17,16,18,33,27,31,38,29,42,34,40,40,48,40,47,54]"
j3038_3,59,"[0,0,0,0,3,11,25,6,11,21,11,25,21,14,14,42,29,21,30,22,36,36,37,47,44,48,30,40,50,55,49,59]"
j3038_4,59,"[0,0,0,0,3,10,3,5,10,13,19,21,14,19,20,3,16,23,37,29,31,35,38,41,51,38,48,41,53,57,32,59]"
j3038_5,71,"[0,0,0,0,5,32,4,4,14,12,12,21,16,20,38,20,42,31,24,49,38,29,38,43,56,52,43,34,65,46,62,71]"
j3038_6,63,"[0,3,0,0,10,7,20,1,3,27,20,27,28,24,6,15,35,23,34,40,46,48,50,32,55,31,43,58,35,62,52,63]"
j3038_7,65,"[0,0,0,0,3,4,29,12,11,26,10,19,13,35,24,28,52,20,14,24,33,39,29,37,55,37,39,46,56,44,58,65]"
j3038_8,61,"[0,0,0,0,7,8,9,8,7,15,18,15,19,29,16,34,39,15,19,33,25,43,41,29,48,40,41,46,48,56,47,61]"
